ASF Name,Total_calls,Avg_time_taken,Rank
Chill Enterprises,29,7.0344827586206895,205
Teknodome India Pvt.Ltd.(Vashi),29,6.241379310344827,206
WEGA ELECTRONICS,29,8.310344827586206,207
Hem Enterprise,30,5.166666666666667,208
SHIVAM ENTERPRISES ,30,6.2,209
SHA ELECTRONICS,34,6.117647058823529,210
D. SAMANTA SERVICE,35,12.371428571428572,211
Teknodome India Pvt. Ltd.(Delhi),35,16.285714285714285,212
Narayan Tradors,36,9.833333333333334,213
Hindustan Refrigeration ,38,16.710526315789473,214
Kartik Services,39,11.256410256410257,215
Home Solution,44,8.477272727272727,216
Mars Electro Solutions,45,16.955555555555556,217
S.P ELECTRONICS,47,12.382978723404255,218
Sneha Sales And Service,48,13.145833333333334,219
Dev Enterprises,49,9.16326530612245,220
MAA VAISHNO COMMUNICATION,50,5.44,221
S.G Enterprise,51,7.470588235294118,222
MITHRA ELECTRONICS,52,3.5961538461538463,223
SHAN N GG SERVICE PARTNER,52,3.8461538461538463,224
Customer Care,53,12.433962264150944,225
Atharva Services,54,10.481481481481481,226
COOL TECH SOLUTIONS ,55,7.9818181818181815,227
SRI SAI ELECTRONICS (Erode),56,7.678571428571429,228
Ganesh Enterprises,59,4.322033898305085,229
Hitech Customer Care,61,9.180327868852459,230
JAYAM INFOTECH,61,5.180327868852459,231
Sri Unnamalai Agencies,64,8.65625,232
Harish Electronics,65,9.36923076923077,233
Smart Care Engineering ,67,3.1343283582089554,234
We Care Mobile Point,69,16.231884057971016,235
Anshika Electronics,74,6.027027027027027,236
SRI MURUGAN ELECTRONICS,74,7.716216216216216,237
Thendral Service Centre,74,4.891891891891892,238
M/s.DHANANJAY ELECTRONICS AND ELECTRICALS,75,6.08,239
Jay Gajanan Refrijration Sales And Services,81,1.6296296296296295,240
Jayam Enterprises,84,2.9047619047619047,241
RAM ENTERPRISES SALES AND SERVICES,87,6.2988505747126435,242
V.S.SERVICES,95,6.11578947368421,243
